Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2024 Australian population 
(per 100,000)"
Incidence,Melanoma of the skin,2019,Persons,Australian Capital Territory,205,61.1
Incidence,Melanoma of the skin,2019,Persons,Northern Territory,88,56.5
Incidence,Melanoma of the skin,2020,Males,New South Wales,"2,894",77.1
Incidence,Melanoma of the skin,2020,Males,Victoria,"1,493",51.4
Incidence,Melanoma of the skin,2020,Males,Queensland,"2,408",102.3
Incidence,Melanoma of the skin,2020,Males,Western Australia,817,68.8
Incidence,Melanoma of the skin,2020,Males,South Australia,544,60.5
Incidence,Melanoma of the skin,2020,Males,Tasmania,221,75.5
Incidence,Melanoma of the skin,2020,Males,Australian Capital Territory,120,76.4
Incidence,Melanoma of the skin,2020,Males,Northern Territory,55,71.9
Incidence,Melanoma of the skin,2020,Females,New South Wales,"2,024",48.5
Incidence,Melanoma of the skin,2020,Females,Victoria,"1,093",32.7
Incidence,Melanoma of the skin,2020,Females,Queensland,"1,761",67.8
Incidence,Melanoma of the skin,2020,Females,Western Australia,597,45.2
Incidence,Melanoma of the skin,2020,Females,South Australia,347,34.4
Incidence,Melanoma of the skin,2020,Females,Tasmania,205,65.7
Incidence,Melanoma of the skin,2020,Females,Australian Capital Territory,85,44.6
Incidence,Melanoma of the skin,2020,Females,Northern Territory,33,36.5
Incidence,Melanoma of the skin,2020,Persons,New South Wales,"4,918",61.7
Incidence,Melanoma of the skin,2020,Persons,Victoria,"2,586",41.2
Incidence,Melanoma of the skin,2020,Persons,Queensland,"4,169",83.8
Incidence,Melanoma of the skin,2020,Persons,Western Australia,"1,417",56.2
Incidence,Melanoma of the skin,2020,Persons,South Australia,891,46.3
Incidence,Melanoma of the skin,2020,Persons,Tasmania,428,70.3
Incidence,Melanoma of the skin,2020,Persons,Australian Capital Territory,205,59.0
Incidence,Melanoma of the skin,2020,Persons,Northern Territory,88,54.0
